"Statistic","CensusYear","Sex","Province County or City","UNIT","VALUE"
"2002 Population at Each Census Since 1841","1891","Male","Meath","Number","39224"
"2002 Population at Each Census Since 1841","1891","Male","Offaly","Number","33777"
"2002 Population at Each Census Since 1841","1891","Male","Westmeath","Number","33927"
"2002 Population at Each Census Since 1841","1891","Male","Wexford","Number","54935"
"2002 Population at Each Census Since 1841","1891","Male","Wicklow","Number","31054"
"2002 Population at Each Census Since 1841","1891","Male","Munster","Number","587611"
"2002 Population at Each Census Since 1841","1891","Male","Clare","Number","63138"
"2002 Population at Each Census Since 1841","1891","Male","Cork","Number","219988"
"2002 Population at Each Census Since 1841","1891","Male","Kerry","Number","91017"
"2002 Population at Each Census Since 1841","1891","Male","Limerick","Number","78607"
"2002 Population at Each Census Since 1841","1891","Male","North Tipperary","Number","38172"
"2002 Population at Each Census Since 1841","1891","Male","South Tipperary","Number","48635"
"2002 Population at Each Census Since 1841","1891","Male","Waterford","Number","48054"
"2002 Population at Each Census Since 1841","1891","Male","Connacht","Number","362166"
"2002 Population at Each Census Since 1841","1891","Male","Galway","Number","108283"
"2002 Population at Each Census Since 1841","1891","Male","Leitrim","Number","39715"
"2002 Population at Each Census Since 1841","1891","Male","Mayo","Number","107498"
"2002 Population at Each Census Since 1841","1891","Male","Roscommon","Number","58000"
"2002 Population at Each Census Since 1841","1891","Male","Sligo","Number","48670"
"2002 Population at Each Census Since 1841","1891","Male","Ulster (part of)","Number","190977"
"2002 Population at Each Census Since 1841","1891","Male","Cavan","Number","56772"
"2002 Population at Each Census Since 1841","1891","Male","Donegal","Number","91478"
"2002 Population at Each Census Since 1841","1891","Male","Monaghan","Number","42727"
"2002 Population at Each Census Since 1841","1891","Female","State","Number","1740093"
"2002 Population at Each Census Since 1841","1891","Female","Leinster","Number","599913"
"2002 Population at Each Census Since 1841","1891","Female","Carlow","Number","20384"
"2002 Population at Each Census Since 1841","1891","Female","Dublin","Number","221807"
"2002 Population at Each Census Since 1841","1891","Female","Kildare","Number","31799"
"2002 Population at Each Census Since 1841","1891","Female","Kilkenny","Number","43793"
"2002 Population at Each Census Since 1841","1891","Female","Laois","Number","31712"
"2002 Population at Each Census Since 1841","1891","Female","Longford","Number","25966"
"2002 Population at Each Census Since 1841","1891","Female","Louth","Number","35796"
"2002 Population at Each Census Since 1841","1891","Female","Meath","Number","37763"
"2002 Population at Each Census Since 1841","1891","Female","Offaly","Number","31786"
"2002 Population at Each Census Since 1841","1891","Female","Westmeath","Number","31182"
"2002 Population at Each Census Since 1841","1891","Female","Wexford","Number","56843"
"2002 Population at Each Census Since 1841","1891","Female","Wicklow","Number","31082"
"2002 Population at Each Census Since 1841","1891","Female","Munster","Number","584791"
"2002 Population at Each Census Since 1841","1891","Female","Clare","Number","61345"
"2002 Population at Each Census Since 1841","1891","Female","Cork","Number","218444"
"2002 Population at Each Census Since 1841","1891","Female","Kerry","Number","88119"
"2002 Population at Each Census Since 1841","1891","Female","Limerick","Number","80305"
"2002 Population at Each Census Since 1841","1891","Female","North Tipperary","Number","38048"
"2002 Population at Each Census Since 1841","1891","Female","South Tipperary","Number","48333"
"2002 Population at Each Census Since 1841","1891","Female","Waterford","Number","50197"
"2002 Population at Each Census Since 1841","1891","Female","Connacht","Number","362608"
"2002 Population at Each Census Since 1841","1891","Female","Galway","Number","106429"
"2002 Population at Each Census Since 1841","1891","Female","Leitrim","Number","38903"
"2002 Population at Each Census Since 1841","1891","Female","Mayo","Number","111536"
"2002 Population at Each Census Since 1841","1891","Female","Roscommon","Number","56397"
"2002 Population at Each Census Since 1841","1891","Female","Sligo","Number","49343"
"2002 Population at Each Census Since 1841","1891","Female","Ulster (part of)","Number","192781"
"2002 Population at Each Census Since 1841","1891","Female","Cavan","Number","55145"
"2002 Population at Each Census Since 1841","1891","Female","Donegal","Number","94157"
"2002 Population at Each Census Since 1841","1891","Female","Monaghan","Number","43479"
"2002 Population at Each Census Since 1841","1901","Both sexes","State","Number","3221823"
"2002 Population at Each Census Since 1841","1901","Both sexes","Leinster","Number","1152829"
"2002 Population at Each Census Since 1841","1901","Both sexes","Carlow","Number","37748"
"2002 Population at Each Census Since 1841","1901","Both sexes","Dublin","Number","448206"
"2002 Population at Each Census Since 1841","1901","Both sexes","Kildare","Number","63566"
"2002 Population at Each Census Since 1841","1901","Both sexes","Kilkenny","Number","79159"
"2002 Population at Each Census Since 1841","1901","Both sexes","Laois","Number","57417"
"2002 Population at Each Census Since 1841","1901","Both sexes","Longford","Number","46672"
"2002 Population at Each Census Since 1841","1901","Both sexes","Louth","Number","65820"
"2002 Population at Each Census Since 1841","1901","Both sexes","Meath","Number","67497"
"2002 Population at Each Census Since 1841","1901","Both sexes","Offaly","Number","60187"
"2002 Population at Each Census Since 1841","1901","Both sexes","Westmeath","Number","61629"
"2002 Population at Each Census Since 1841","1901","Both sexes","Wexford","Number","104104"
"2002 Population at Each Census Since 1841","1901","Both sexes","Wicklow","Number","60824"
"2002 Population at Each Census Since 1841","1901","Both sexes","Munster","Number","1076188"
"2002 Population at Each Census Since 1841","1901","Both sexes","Clare","Number","112334"
"2002 Population at Each Census Since 1841","1901","Both sexes","Cork","Number","404611"
"2002 Population at Each Census Since 1841","1901","Both sexes","Kerry","Number","165726"
"2002 Population at Each Census Since 1841","1901","Both sexes","Limerick","Number","146098"
"2002 Population at Each Census Since 1841","1901","Both sexes","North Tipperary","Number","67815"
"2002 Population at Each Census Since 1841","1901","Both sexes","South Tipperary","Number","92417"
"2002 Population at Each Census Since 1841","1901","Both sexes","Waterford","Number","87187"
"2002 Population at Each Census Since 1841","1901","Both sexes","Connacht","Number","646932"
"2002 Population at Each Census Since 1841","1901","Both sexes","Galway","Number","192549"
"2002 Population at Each Census Since 1841","1901","Both sexes","Leitrim","Number","69343"
"2002 Population at Each Census Since 1841","1901","Both sexes","Mayo","Number","199166"
"2002 Population at Each Census Since 1841","1901","Both sexes","Roscommon","Number","101791"
"2002 Population at Each Census Since 1841","1901","Both sexes","Sligo","Number","84083"
"2002 Population at Each Census Since 1841","1901","Both sexes","Ulster (part of)","Number","345874"
"2002 Population at Each Census Since 1841","1901","Both sexes","Cavan","Number","97541"
"2002 Population at Each Census Since 1841","1901","Both sexes","Donegal","Number","173722"
"2002 Population at Each Census Since 1841","1901","Both sexes","Monaghan","Number","74611"
"2002 Population at Each Census Since 1841","1901","Male","State","Number","1610085"
"2002 Population at Each Census Since 1841","1901","Male","Leinster","Number","571809"
"2002 Population at Each Census Since 1841","1901","Male","Carlow","Number","19009"
"2002 Population at Each Census Since 1841","1901","Male","Dublin","Number","211786"
"2002 Population at Each Census Since 1841","1901","Male","Kildare","Number","34703"
"2002 Population at Each Census Since 1841","1901","Male","Kilkenny","Number","40095"
"2002 Population at Each Census Since 1841","1901","Male","Laois","Number","29694"
"2002 Population at Each Census Since 1841","1901","Male","Longford","Number","23814"
"2002 Population at Each Census Since 1841","1901","Male","Louth","Number","32666"
"2002 Population at Each Census Since 1841","1901","Male","Meath","Number","34757"
"2002 Population at Each Census Since 1841","1901","Male","Offaly","Number","31065"
"2002 Population at Each Census Since 1841","1901","Male","Westmeath","Number","31880"
"2002 Population at Each Census Since 1841","1901","Male","Wexford","Number","51756"
"2002 Population at Each Census Since 1841","1901","Male","Wicklow","Number","30584"
"2002 Population at Each Census Since 1841","1901","Male","Munster","Number","540970"
"2002 Population at Each Census Since 1841","1901","Male","Clare","Number","57386"
"2002 Population at Each Census Since 1841","1901","Male","Cork","Number","202297"
"2002 Population at Each Census Since 1841","1901","Male","Kerry","Number","84427"
"2002 Population at Each Census Since 1841","1901","Male","Limerick","Number","72456"
"2002 Population at Each Census Since 1841","1901","Male","North Tipperary","Number","34513"
"2002 Population at Each Census Since 1841","1901","Male","South Tipperary","Number","46886"
"2002 Population at Each Census Since 1841","1901","Male","Waterford","Number","43005"
"2002 Population at Each Census Since 1841","1901","Male","Connacht","Number","323667"
"2002 Population at Each Census Since 1841","1901","Male","Galway","Number","97923"
"2002 Population at Each Census Since 1841","1901","Male","Leitrim","Number","35098"
"2002 Population at Each Census Since 1841","1901","Male","Mayo","Number","97564"
"2002 Population at Each Census Since 1841","1901","Male","Roscommon","Number","51233"
"2002 Population at Each Census Since 1841","1901","Male","Sligo","Number","41849"
"2002 Population at Each Census Since 1841","1901","Male","Ulster (part of)","Number","173639"
"2002 Population at Each Census Since 1841","1901","Male","Cavan","Number","50087"
"2002 Population at Each Census Since 1841","1901","Male","Donegal","Number","86444"
"2002 Population at Each Census Since 1841","1901","Male","Monaghan","Number","37108"
"2002 Population at Each Census Since 1841","1901","Female","State","Number","1611738"
"2002 Population at Each Census Since 1841","1901","Female","Leinster","Number","581020"
"2002 Population at Each Census Since 1841","1901","Female","Carlow","Number","18739"
"2002 Population at Each Census Since 1841","1901","Female","Dublin","Number","236420"
"2002 Population at Each Census Since 1841","1901","Female","Kildare","Number","28863"
"2002 Population at Each Census Since 1841","1901","Female","Kilkenny","Number","39064"
"2002 Population at Each Census Since 1841","1901","Female","Laois","Number","27723"
"2002 Population at Each Census Since 1841","1901","Female","Longford","Number","22858"
"2002 Population at Each Census Since 1841","1901","Female","Louth","Number","33154"
"2002 Population at Each Census Since 1841","1901","Female","Meath","Number","32740"
"2002 Population at Each Census Since 1841","1901","Female","Offaly","Number","29122"
"2002 Population at Each Census Since 1841","1901","Female","Westmeath","Number","29749"
"2002 Population at Each Census Since 1841","1901","Female","Wexford","Number","52348"
"2002 Population at Each Census Since 1841","1901","Female","Wicklow","Number","30240"
"2002 Population at Each Census Since 1841","1901","Female","Munster","Number","535218"
"2002 Population at Each Census Since 1841","1901","Female","Clare","Number","54948"
"2002 Population at Each Census Since 1841","1901","Female","Cork","Number","202314"
"2002 Population at Each Census Since 1841","1901","Female","Kerry","Number","81299"
"2002 Population at Each Census Since 1841","1901","Female","Limerick","Number","73642"
"2002 Population at Each Census Since 1841","1901","Female","North Tipperary","Number","33302"
"2002 Population at Each Census Since 1841","1901","Female","South Tipperary","Number","45531"
"2002 Population at Each Census Since 1841","1901","Female","Waterford","Number","44182"
"2002 Population at Each Census Since 1841","1901","Female","Connacht","Number","323265"
"2002 Population at Each Census Since 1841","1901","Female","Galway","Number","94626"
"2002 Population at Each Census Since 1841","1901","Female","Leitrim","Number","34245"
"2002 Population at Each Census Since 1841","1901","Female","Mayo","Number","101602"
"2002 Population at Each Census Since 1841","1901","Female","Roscommon","Number","50558"
"2002 Population at Each Census Since 1841","1901","Female","Sligo","Number","42234"
"2002 Population at Each Census Since 1841","1901","Female","Ulster (part of)","Number","172235"
"2002 Population at Each Census Since 1841","1901","Female","Cavan","Number","47454"
"2002 Population at Each Census Since 1841","1901","Female","Donegal","Number","87278"
"2002 Population at Each Census Since 1841","1901","Female","Monaghan","Number","37503"
"2002 Population at Each Census Since 1841","1911","Both sexes","State","Number","3139688"
"2002 Population at Each Census Since 1841","1911","Both sexes","Leinster","Number","1162044"
"2002 Population at Each Census Since 1841","1911","Both sexes","Carlow","Number","36252"
"2002 Population at Each Census Since 1841","1911","Both sexes","Dublin","Number","477196"
"2002 Population at Each Census Since 1841","1911","Both sexes","Kildare","Number","66627"
"2002 Population at Each Census Since 1841","1911","Both sexes","Kilkenny","Number","74962"
"2002 Population at Each Census Since 1841","1911","Both sexes","Laois","Number","54629"
"2002 Population at Each Census Since 1841","1911","Both sexes","Longford","Number","43820"
"2002 Population at Each Census Since 1841","1911","Both sexes","Louth","Number","63665"
"2002 Population at Each Census Since 1841","1911","Both sexes","Meath","Number","65091"
"2002 Population at Each Census Since 1841","1911","Both sexes","Offaly","Number","56832"
"2002 Population at Each Census Since 1841","1911","Both sexes","Westmeath","Number","59986"
"2002 Population at Each Census Since 1841","1911","Both sexes","Wexford","Number","102273"
"2002 Population at Each Census Since 1841","1911","Both sexes","Wicklow","Number","60711"
"2002 Population at Each Census Since 1841","1911","Both sexes","Munster","Number","1035495"
"2002 Population at Each Census Since 1841","1911","Both sexes","Clare","Number","104232"
"2002 Population at Each Census Since 1841","1911","Both sexes","Cork","Number","392104"
"2002 Population at Each Census Since 1841","1911","Both sexes","Kerry","Number","159691"
"2002 Population at Each Census Since 1841","1911","Both sexes","Limerick","Number","143069"
"2002 Population at Each Census Since 1841","1911","Both sexes","North Tipperary","Number","62881"
"2002 Population at Each Census Since 1841","1911","Both sexes","South Tipperary","Number","89552"
"2002 Population at Each Census Since 1841","1911","Both sexes","Waterford","Number","83966"
"2002 Population at Each Census Since 1841","1911","Both sexes","Connacht","Number","610984"
"2002 Population at Each Census Since 1841","1911","Both sexes","Galway","Number","182224"
"2002 Population at Each Census Since 1841","1911","Both sexes","Leitrim","Number","63582"
"2002 Population at Each Census Since 1841","1911","Both sexes","Mayo","Number","192177"
"2002 Population at Each Census Since 1841","1911","Both sexes","Roscommon","Number","93956"
"2002 Population at Each Census Since 1841","1911","Both sexes","Sligo","Number","79045"
"2002 Population at Each Census Since 1841","1911","Both sexes","Ulster (part of)","Number","331165"
"2002 Population at Each Census Since 1841","1911","Both sexes","Cavan","Number","91173"
"2002 Population at Each Census Since 1841","1911","Both sexes","Donegal","Number","168537"
"2002 Population at Each Census Since 1841","1911","Both sexes","Monaghan","Number","71455"
"2002 Population at Each Census Since 1841","1911","Male","State","Number","1589509"
"2002 Population at Each Census Since 1841","1911","Male","Leinster","Number","582967"
"2002 Population at Each Census Since 1841","1911","Male","Carlow","Number","18481"
"2002 Population at Each Census Since 1841","1911","Male","Dublin","Number","226364"
"2002 Population at Each Census Since 1841","1911","Male","Kildare","Number","37684"
"2002 Population at Each Census Since 1841","1911","Male","Kilkenny","Number","38551"
"2002 Population at Each Census Since 1841","1911","Male","Laois","Number","28711"
"2002 Population at Each Census Since 1841","1911","Male","Longford","Number","22656"
"2002 Population at Each Census Since 1841","1911","Male","Louth","Number","32191"
"2002 Population at Each Census Since 1841","1911","Male","Meath","Number","33934"
"2002 Population at Each Census Since 1841","1911","Male","Offaly","Number","29804"
"2002 Population at Each Census Since 1841","1911","Male","Westmeath","Number","31910"
"2002 Population at Each Census Since 1841","1911","Male","Wexford","Number","51568"
"2002 Population at Each Census Since 1841","1911","Male","Wicklow","Number","31113"
"2002 Population at Each Census Since 1841","1911","Male","Munster","Number","526130"
"2002 Population at Each Census Since 1841","1911","Male","Clare","Number","53877"
"2002 Population at Each Census Since 1841","1911","Male","Cork","Number","197516"
"2002 Population at Each Census Since 1841","1911","Male","Kerry","Number","81474"
"2002 Population at Each Census Since 1841","1911","Male","Limerick","Number","72229"
"2002 Population at Each Census Since 1841","1911","Male","North Tipperary","Number","32341"
"2002 Population at Each Census Since 1841","1911","Male","South Tipperary","Number","46243"
"2002 Population at Each Census Since 1841","1911","Male","Waterford","Number","42450"
"2002 Population at Each Census Since 1841","1911","Male","Connacht","Number","312089"
"2002 Population at Each Census Since 1841","1911","Male","Galway","Number","94403"
"2002 Population at Each Census Since 1841","1911","Male","Leitrim","Number","32759"
"2002 Population at Each Census Since 1841","1911","Male","Mayo","Number","96345"
"2002 Population at Each Census Since 1841","1911","Male","Roscommon","Number","48522"
"2002 Population at Each Census Since 1841","1911","Male","Sligo","Number","40060"
"2002 Population at Each Census Since 1841","1911","Male","Ulster (part of)","Number","168323"
"2002 Population at Each Census Since 1841","1911","Male","Cavan","Number","47743"
"2002 Population at Each Census Since 1841","1911","Male","Donegal","Number","84627"
"2002 Population at Each Census Since 1841","1911","Male","Monaghan","Number","35953"
"2002 Population at Each Census Since 1841","1911","Female","State","Number","1550179"
"2002 Population at Each Census Since 1841","1911","Female","Leinster","Number","579077"
"2002 Population at Each Census Since 1841","1911","Female","Carlow","Number","17771"
"2002 Population at Each Census Since 1841","1911","Female","Dublin","Number","250832"
"2002 Population at Each Census Since 1841","1911","Female","Kildare","Number","28943"
"2002 Population at Each Census Since 1841","1911","Female","Kilkenny","Number","36411"
"2002 Population at Each Census Since 1841","1911","Female","Laois","Number","25918"
"2002 Population at Each Census Since 1841","1911","Female","Longford","Number","21164"
"2002 Population at Each Census Since 1841","1911","Female","Louth","Number","31474"
"2002 Population at Each Census Since 1841","1911","Female","Meath","Number","31157"
"2002 Population at Each Census Since 1841","1911","Female","Offaly","Number","27028"
"2002 Population at Each Census Since 1841","1911","Female","Westmeath","Number","28076"
"2002 Population at Each Census Since 1841","1911","Female","Wexford","Number","50705"
"2002 Population at Each Census Since 1841","1911","Female","Wicklow","Number","29598"
"2002 Population at Each Census Since 1841","1911","Female","Munster","Number","509365"
"2002 Population at Each Census Since 1841","1911","Female","Clare","Number","50355"
"2002 Population at Each Census Since 1841","1911","Female","Cork","Number","194588"
"2002 Population at Each Census Since 1841","1911","Female","Kerry","Number","78217"
"2002 Population at Each Census Since 1841","1911","Female","Limerick","Number","70840"
"2002 Population at Each Census Since 1841","1911","Female","North Tipperary","Number","30540"
"2002 Population at Each Census Since 1841","1911","Female","South Tipperary","Number","43309"
"2002 Population at Each Census Since 1841","1911","Female","Waterford","Number","41516"
"2002 Population at Each Census Since 1841","1911","Female","Connacht","Number","298895"
"2002 Population at Each Census Since 1841","1911","Female","Galway","Number","87821"
"2002 Population at Each Census Since 1841","1911","Female","Leitrim","Number","30823"
"2002 Population at Each Census Since 1841","1911","Female","Mayo","Number","95832"
"2002 Population at Each Census Since 1841","1911","Female","Roscommon","Number","45434"
"2002 Population at Each Census Since 1841","1911","Female","Sligo","Number","38985"
"2002 Population at Each Census Since 1841","1911","Female","Ulster (part of)","Number","162842"
"2002 Population at Each Census Since 1841","1911","Female","Cavan","Number","43430"
"2002 Population at Each Census Since 1841","1911","Female","Donegal","Number","83910"
"2002 Population at Each Census Since 1841","1911","Female","Monaghan","Number","35502"
"2002 Population at Each Census Since 1841","1926","Both sexes","State","Number","2971992"
"2002 Population at Each Census Since 1841","1926","Both sexes","Leinster","Number","1149092"
"2002 Population at Each Census Since 1841","1926","Both sexes","Carlow","Number","34476"
"2002 Population at Each Census Since 1841","1926","Both sexes","Dublin","Number","505654"
"2002 Population at Each Census Since 1841","1926","Both sexes","Kildare","Number","58028"
"2002 Population at Each Census Since 1841","1926","Both sexes","Kilkenny","Number","70990"
"2002 Population at Each Census Since 1841","1926","Both sexes","Laois","Number","51540"
"2002 Population at Each Census Since 1841","1926","Both sexes","Longford","Number","39847"
"2002 Population at Each Census Since 1841","1926","Both sexes","Louth","Number","62739"
"2002 Population at Each Census Since 1841","1926","Both sexes","Meath","Number","62969"
"2002 Population at Each Census Since 1841","1926","Both sexes","Offaly","Number","52592"
"2002 Population at Each Census Since 1841","1926","Both sexes","Westmeath","Number","56818"
"2002 Population at Each Census Since 1841","1926","Both sexes","Wexford","Number","95848"
"2002 Population at Each Census Since 1841","1926","Both sexes","Wicklow","Number","57591"
"2002 Population at Each Census Since 1841","1926","Both sexes","Munster","Number","969902"
"2002 Population at Each Census Since 1841","1926","Both sexes","Clare","Number","95064"
"2002 Population at Each Census Since 1841","1926","Both sexes","Cork","Number","365747"
"2002 Population at Each Census Since 1841","1926","Both sexes","Kerry","Number","149171"
"2002 Population at Each Census Since 1841","1926","Both sexes","Limerick","Number","140343"
"2002 Population at Each Census Since 1841","1926","Both sexes","North Tipperary","Number","59645"
"2002 Population at Each Census Since 1841","1926","Both sexes","South Tipperary","Number","81370"
"2002 Population at Each Census Since 1841","1926","Both sexes","Waterford","Number","78562"
"2002 Population at Each Census Since 1841","1926","Both sexes","Connacht","Number","552907"
"2002 Population at Each Census Since 1841","1926","Both sexes","Galway","Number","169366"
"2002 Population at Each Census Since 1841","1926","Both sexes","Leitrim","Number","55907"
"2002 Population at Each Census Since 1841","1926","Both sexes","Mayo","Number","172690"
"2002 Population at Each Census Since 1841","1926","Both sexes","Roscommon","Number","83556"
"2002 Population at Each Census Since 1841","1926","Both sexes","Sligo","Number","71388"
"2002 Population at Each Census Since 1841","1926","Both sexes","Ulster (part of)","Number","300091"
"2002 Population at Each Census Since 1841","1926","Both sexes","Cavan","Number","82452"
"2002 Population at Each Census Since 1841","1926","Both sexes","Donegal","Number","152508"
"2002 Population at Each Census Since 1841","1926","Both sexes","Monaghan","Number","65131"
"2002 Population at Each Census Since 1841","1926","Male","State","Number","1506889"
"2002 Population at Each Census Since 1841","1926","Male","Leinster","Number","573900"
"2002 Population at Each Census Since 1841","1926","Male","Carlow","Number","17802"
"2002 Population at Each Census Since 1841","1926","Male","Dublin","Number","238995"
"2002 Population at Each Census Since 1841","1926","Male","Kildare","Number","31987"
"2002 Population at Each Census Since 1841","1926","Male","Kilkenny","Number","37084"
"2002 Population at Each Census Since 1841","1926","Male","Laois","Number","27198"
"2002 Population at Each Census Since 1841","1926","Male","Longford","Number","20805"
"2002 Population at Each Census Since 1841","1926","Male","Louth","Number","31749"
"2002 Population at Each Census Since 1841","1926","Male","Meath","Number","33082"
"2002 Population at Each Census Since 1841","1926","Male","Offaly","Number","27566"
"2002 Population at Each Census Since 1841","1926","Male","Westmeath","Number","30151"
"2002 Population at Each Census Since 1841","1926","Male","Wexford","Number","48570"
"2002 Population at Each Census Since 1841","1926","Male","Wicklow","Number","28911"
"2002 Population at Each Census Since 1841","1926","Male","Munster","Number","493628"
"2002 Population at Each Census Since 1841","1926","Male","Clare","Number","50071"
"2002 Population at Each Census Since 1841","1926","Male","Cork","Number","183192"
"2002 Population at Each Census Since 1841","1926","Male","Kerry","Number","76863"
"2002 Population at Each Census Since 1841","1926","Male","Limerick","Number","71172"
"2002 Population at Each Census Since 1841","1926","Male","North Tipperary","Number","31020"
"2002 Population at Each Census Since 1841","1926","Male","South Tipperary","Number","41884"
"2002 Population at Each Census Since 1841","1926","Male","Waterford","Number","39426"
"2002 Population at Each Census Since 1841","1926","Male","Connacht","Number","284453"
"2002 Population at Each Census Since 1841","1926","Male","Galway","Number","88481"
"2002 Population at Each Census Since 1841","1926","Male","Leitrim","Number","29247"
"2002 Population at Each Census Since 1841","1926","Male","Mayo","Number","86778"
"2002 Population at Each Census Since 1841","1926","Male","Roscommon","Number","43281"
"2002 Population at Each Census Since 1841","1926","Male","Sligo","Number","36666"
"2002 Population at Each Census Since 1841","1926","Male","Ulster (part of)","Number","154908"
"2002 Population at Each Census Since 1841","1926","Male","Cavan","Number","43550"
"2002 Population at Each Census Since 1841","1926","Male","Donegal","Number","78100"
"2002 Population at Each Census Since 1841","1926","Male","Monaghan","Number","33258"
"2002 Population at Each Census Since 1841","1926","Female","State","Number","1465103"
"2002 Population at Each Census Since 1841","1926","Female","Leinster","Number","575192"
"2002 Population at Each Census Since 1841","1926","Female","Carlow","Number","16674"
"2002 Population at Each Census Since 1841","1926","Female","Dublin","Number","266659"
"2002 Population at Each Census Since 1841","1926","Female","Kildare","Number","26041"
"2002 Population at Each Census Since 1841","1926","Female","Kilkenny","Number","33906"
"2002 Population at Each Census Since 1841","1926","Female","Laois","Number","24342"
"2002 Population at Each Census Since 1841","1926","Female","Longford","Number","19042"
"2002 Population at Each Census Since 1841","1926","Female","Louth","Number","30990"
"2002 Population at Each Census Since 1841","1926","Female","Meath","Number","29887"
"2002 Population at Each Census Since 1841","1926","Female","Offaly","Number","25026"
"2002 Population at Each Census Since 1841","1926","Female","Westmeath","Number","26667"
"2002 Population at Each Census Since 1841","1926","Female","Wexford","Number","47278"
"2002 Population at Each Census Since 1841","1926","Female","Wicklow","Number","28680"
"2002 Population at Each Census Since 1841","1926","Female","Munster","Number","476274"
"2002 Population at Each Census Since 1841","1926","Female","Clare","Number","44993"
"2002 Population at Each Census Since 1841","1926","Female","Cork","Number","182555"
"2002 Population at Each Census Since 1841","1926","Female","Kerry","Number","72308"
"2002 Population at Each Census Since 1841","1926","Female","Limerick","Number","69171"
"2002 Population at Each Census Since 1841","1926","Female","North Tipperary","Number","28625"
"2002 Population at Each Census Since 1841","1926","Female","South Tipperary","Number","39486"
"2002 Population at Each Census Since 1841","1926","Female","Waterford","Number","39136"
"2002 Population at Each Census Since 1841","1926","Female","Connacht","Number","268454"
"2002 Population at Each Census Since 1841","1926","Female","Galway","Number","80885"
"2002 Population at Each Census Since 1841","1926","Female","Leitrim","Number","26660"
"2002 Population at Each Census Since 1841","1926","Female","Mayo","Number","85912"
"2002 Population at Each Census Since 1841","1926","Female","Roscommon","Number","40275"
"2002 Population at Each Census Since 1841","1926","Female","Sligo","Number","34722"
"2002 Population at Each Census Since 1841","1926","Female","Ulster (part of)","Number","145183"
"2002 Population at Each Census Since 1841","1926","Female","Cavan","Number","38902"
"2002 Population at Each Census Since 1841","1926","Female","Donegal","Number","74408"
"2002 Population at Each Census Since 1841","1926","Female","Monaghan","Number","31873"
"2002 Population at Each Census Since 1841","1936","Both sexes","State","Number","2968420"
"2002 Population at Each Census Since 1841","1936","Both sexes","Leinster","Number","1220411"
"2002 Population at Each Census Since 1841","1936","Both sexes","Carlow","Number","34452"
"2002 Population at Each Census Since 1841","1936","Both sexes","Dublin","Number","586925"
"2002 Population at Each Census Since 1841","1936","Both sexes","Kildare","Number","57892"
"2002 Population at Each Census Since 1841","1936","Both sexes","Kilkenny","Number","68614"
"2002 Population at Each Census Since 1841","1936","Both sexes","Laois","Number","50109"
"2002 Population at Each Census Since 1841","1936","Both sexes","Longford","Number","37847"
"2002 Population at Each Census Since 1841","1936","Both sexes","Louth","Number","64339"
"2002 Population at Each Census Since 1841","1936","Both sexes","Meath","Number","61405"
"2002 Population at Each Census Since 1841","1936","Both sexes","Offaly","Number","51308"
"2002 Population at Each Census Since 1841","1936","Both sexes","Westmeath","Number","54706"
"2002 Population at Each Census Since 1841","1936","Both sexes","Wexford","Number","94245"
"2002 Population at Each Census Since 1841","1936","Both sexes","Wicklow","Number","58569"
"2002 Population at Each Census Since 1841","1936","Both sexes","Munster","Number","942272"
"2002 Population at Each Census Since 1841","1936","Both sexes","Clare","Number","89879"
"2002 Population at Each Census Since 1841","1936","Both sexes","Cork","Number","355957"
"2002 Population at Each Census Since 1841","1936","Both sexes","Kerry","Number","139834"
"2002 Population at Each Census Since 1841","1936","Both sexes","Limerick","Number","141153"
"2002 Population at Each Census Since 1841","1936","Both sexes","North Tipperary","Number","59551"
"2002 Population at Each Census Since 1841","1936","Both sexes","South Tipperary","Number","78284"
"2002 Population at Each Census Since 1841","1936","Both sexes","Waterford","Number","77614"
"2002 Population at Each Census Since 1841","1936","Both sexes","Connacht","Number","525468"
"2002 Population at Each Census Since 1841","1936","Both sexes","Galway","Number","168198"
"2002 Population at Each Census Since 1841","1936","Both sexes","Leitrim","Number","50908"
"2002 Population at Each Census Since 1841","1936","Both sexes","Mayo","Number","161349"
"2002 Population at Each Census Since 1841","1936","Both sexes","Roscommon","Number","77566"
"2002 Population at Each Census Since 1841","1936","Both sexes","Sligo","Number","67447"
"2002 Population at Each Census Since 1841","1936","Both sexes","Ulster (part of)","Number","280269"
"2002 Population at Each Census Since 1841","1936","Both sexes","Cavan","Number","76670"
"2002 Population at Each Census Since 1841","1936","Both sexes","Donegal","Number","142310"
"2002 Population at Each Census Since 1841","1936","Both sexes","Monaghan","Number","61289"
"2002 Population at Each Census Since 1841","1936","Male","State","Number","1520454"
"2002 Population at Each Census Since 1841","1936","Male","Leinster","Number","611279"
"2002 Population at Each Census Since 1841","1936","Male","Carlow","Number","18066"
"2002 Population at Each Census Since 1841","1936","Male","Dublin","Number","277098"
"2002 Population at Each Census Since 1841","1936","Male","Kildare","Number","31956"
"2002 Population at Each Census Since 1841","1936","Male","Kilkenny","Number","36489"
"2002 Population at Each Census Since 1841","1936","Male","Laois","Number","27149"
"2002 Population at Each Census Since 1841","1936","Male","Longford","Number","20152"
"2002 Population at Each Census Since 1841","1936","Male","Louth","Number","32829"
"2002 Population at Each Census Since 1841","1936","Male","Meath","Number","32501"
"2002 Population at Each Census Since 1841","1936","Male","Offaly","Number","27555"
