"Statistic","Month","State","UNIT","VALUE"
"Index of Employment (January 1975 to December 2008) in Building and Const","2000M05","State","Base 2000=100","99.2"
"Index of Employment (January 1975 to December 2008) in Building and Const","2000M06","State","Base 2000=100","99.5"
"Index of Employment (January 1975 to December 2008) in Building and Const","2000M07","State","Base 2000=100","102.6"
"Index of Employment (January 1975 to December 2008) in Building and Const","2000M08","State","Base 2000=100","101.2"
"Index of Employment (January 1975 to December 2008) in Building and Const","2000M09","State","Base 2000=100","103.9"
"Index of Employment (January 1975 to December 2008) in Building and Const","2000M10","State","Base 2000=100","97.5"
"Index of Employment (January 1975 to December 2008) in Building and Const","2000M11","State","Base 2000=100","95.7"
"Index of Employment (January 1975 to December 2008) in Building and Const","2000M12","State","Base 2000=100","96.3"
"Index of Employment (January 1975 to December 2008) in Building and Const","2001M01","State","Base 2000=100","103.4"
"Index of Employment (January 1975 to December 2008) in Building and Const","2001M02","State","Base 2000=100","104"
"Index of Employment (January 1975 to December 2008) in Building and Const","2001M03","State","Base 2000=100","105.4"
"Index of Employment (January 1975 to December 2008) in Building and Const","2001M04","State","Base 2000=100","104.4"
"Index of Employment (January 1975 to December 2008) in Building and Const","2001M05","State","Base 2000=100","103.2"
"Index of Employment (January 1975 to December 2008) in Building and Const","2001M06","State","Base 2000=100","103.5"
"Index of Employment (January 1975 to December 2008) in Building and Const","2001M07","State","Base 2000=100","105.6"
"Index of Employment (January 1975 to December 2008) in Building and Const","2001M08","State","Base 2000=100","103.1"
"Index of Employment (January 1975 to December 2008) in Building and Const","2001M09","State","Base 2000=100","103.6"
"Index of Employment (January 1975 to December 2008) in Building and Const","2001M10","State","Base 2000=100","96.7"
"Index of Employment (January 1975 to December 2008) in Building and Const","2001M11","State","Base 2000=100","93.8"
"Index of Employment (January 1975 to December 2008) in Building and Const","2001M12","State","Base 2000=100","93.7"
"Index of Employment (January 1975 to December 2008) in Building and Const","2002M01","State","Base 2000=100","102.5"
"Index of Employment (January 1975 to December 2008) in Building and Const","2002M02","State","Base 2000=100","101.1"
"Index of Employment (January 1975 to December 2008) in Building and Const","2002M03","State","Base 2000=100","102"
"Index of Employment (January 1975 to December 2008) in Building and Const","2002M04","State","Base 2000=100","100.6"
"Index of Employment (January 1975 to December 2008) in Building and Const","2002M05","State","Base 2000=100","99.2"
"Index of Employment (January 1975 to December 2008) in Building and Const","2002M06","State","Base 2000=100","100.7"
"Index of Employment (January 1975 to December 2008) in Building and Const","2002M07","State","Base 2000=100","102.4"
"Index of Employment (January 1975 to December 2008) in Building and Const","2002M08","State","Base 2000=100","100"
"Index of Employment (January 1975 to December 2008) in Building and Const","2002M09","State","Base 2000=100","101.3"
"Index of Employment (January 1975 to December 2008) in Building and Const","2002M10","State","Base 2000=100","95"
"Index of Employment (January 1975 to December 2008) in Building and Const","2002M11","State","Base 2000=100","92.9"
"Index of Employment (January 1975 to December 2008) in Building and Const","2002M12","State","Base 2000=100","93.6"
"Index of Employment (January 1975 to December 2008) in Building and Const","2003M01","State","Base 2000=100","102"
"Index of Employment (January 1975 to December 2008) in Building and Const","2003M02","State","Base 2000=100","102.1"
"Index of Employment (January 1975 to December 2008) in Building and Const","2003M03","State","Base 2000=100","102.5"
"Index of Employment (January 1975 to December 2008) in Building and Const","2003M04","State","Base 2000=100","101"
"Index of Employment (January 1975 to December 2008) in Building and Const","2003M05","State","Base 2000=100","99.7"
"Index of Employment (January 1975 to December 2008) in Building and Const","2003M06","State","Base 2000=100","101.3"
"Index of Employment (January 1975 to December 2008) in Building and Const","2003M07","State","Base 2000=100","103.2"
"Index of Employment (January 1975 to December 2008) in Building and Const","2003M08","State","Base 2000=100","100.5"
"Index of Employment (January 1975 to December 2008) in Building and Const","2003M09","State","Base 2000=100","101.9"
"Index of Employment (January 1975 to December 2008) in Building and Const","2003M10","State","Base 2000=100","95.3"
"Index of Employment (January 1975 to December 2008) in Building and Const","2003M11","State","Base 2000=100","93.4"
"Index of Employment (January 1975 to December 2008) in Building and Const","2003M12","State","Base 2000=100","94.2"
"Index of Employment (January 1975 to December 2008) in Building and Const","2004M01","State","Base 2000=100","102.8"
"Index of Employment (January 1975 to December 2008) in Building and Const","2004M02","State","Base 2000=100","103.1"
"Index of Employment (January 1975 to December 2008) in Building and Const","2004M03","State","Base 2000=100","103.1"
"Index of Employment (January 1975 to December 2008) in Building and Const","2004M04","State","Base 2000=100","102"
"Index of Employment (January 1975 to December 2008) in Building and Const","2004M05","State","Base 2000=100","101.4"
"Index of Employment (January 1975 to December 2008) in Building and Const","2004M06","State","Base 2000=100","105.1"
"Index of Employment (January 1975 to December 2008) in Building and Const","2004M07","State","Base 2000=100","108.3"
"Index of Employment (January 1975 to December 2008) in Building and Const","2004M08","State","Base 2000=100","106"
"Index of Employment (January 1975 to December 2008) in Building and Const","2004M09","State","Base 2000=100","107"
"Index of Employment (January 1975 to December 2008) in Building and Const","2004M10","State","Base 2000=100","100.7"
"Index of Employment (January 1975 to December 2008) in Building and Const","2004M11","State","Base 2000=100","98.9"
"Index of Employment (January 1975 to December 2008) in Building and Const","2004M12","State","Base 2000=100","99.6"
"Index of Employment (January 1975 to December 2008) in Building and Const","2005M01","State","Base 2000=100","107.5"
"Index of Employment (January 1975 to December 2008) in Building and Const","2005M02","State","Base 2000=100","107.6"
"Index of Employment (January 1975 to December 2008) in Building and Const","2005M03","State","Base 2000=100","107.5"
"Index of Employment (January 1975 to December 2008) in Building and Const","2005M04","State","Base 2000=100","106.3"
"Index of Employment (January 1975 to December 2008) in Building and Const","2005M05","State","Base 2000=100","106.3"
"Index of Employment (January 1975 to December 2008) in Building and Const","2005M06","State","Base 2000=100","108.1"
"Index of Employment (January 1975 to December 2008) in Building and Const","2005M07","State","Base 2000=100","110.6"
"Index of Employment (January 1975 to December 2008) in Building and Const","2005M08","State","Base 2000=100","110"
"Index of Employment (January 1975 to December 2008) in Building and Const","2005M09","State","Base 2000=100","111"
"Index of Employment (January 1975 to December 2008) in Building and Const","2005M10","State","Base 2000=100","104"
"Index of Employment (January 1975 to December 2008) in Building and Const","2005M11","State","Base 2000=100","102.8"
"Index of Employment (January 1975 to December 2008) in Building and Const","2005M12","State","Base 2000=100","102.6"
"Index of Employment (January 1975 to December 2008) in Building and Const","2006M01","State","Base 2000=100","108.1"
"Index of Employment (January 1975 to December 2008) in Building and Const","2006M02","State","Base 2000=100","109.8"
"Index of Employment (January 1975 to December 2008) in Building and Const","2006M03","State","Base 2000=100","110.1"
"Index of Employment (January 1975 to December 2008) in Building and Const","2006M04","State","Base 2000=100","109.2"
"Index of Employment (January 1975 to December 2008) in Building and Const","2006M05","State","Base 2000=100","109"
"Index of Employment (January 1975 to December 2008) in Building and Const","2006M06","State","Base 2000=100","111.1"
"Index of Employment (January 1975 to December 2008) in Building and Const","2006M07","State","Base 2000=100","113.5"
"Index of Employment (January 1975 to December 2008) in Building and Const","2006M08","State","Base 2000=100","112.8"
"Index of Employment (January 1975 to December 2008) in Building and Const","2006M09","State","Base 2000=100","113.8"
"Index of Employment (January 1975 to December 2008) in Building and Const","2006M10","State","Base 2000=100","107.1"
"Index of Employment (January 1975 to December 2008) in Building and Const","2006M11","State","Base 2000=100","105.4"
"Index of Employment (January 1975 to December 2008) in Building and Const","2006M12","State","Base 2000=100","105"
"Index of Employment (January 1975 to December 2008) in Building and Const","2007M01","State","Base 2000=100","110"
"Index of Employment (January 1975 to December 2008) in Building and Const","2007M02","State","Base 2000=100","110.7"
"Index of Employment (January 1975 to December 2008) in Building and Const","2007M03","State","Base 2000=100","110.1"
"Index of Employment (January 1975 to December 2008) in Building and Const","2007M04","State","Base 2000=100","109.1"
"Index of Employment (January 1975 to December 2008) in Building and Const","2007M05","State","Base 2000=100","111.1"
"Index of Employment (January 1975 to December 2008) in Building and Const","2007M06","State","Base 2000=100","109.8"
"Index of Employment (January 1975 to December 2008) in Building and Const","2007M07","State","Base 2000=100","111.2"
"Index of Employment (January 1975 to December 2008) in Building and Const","2007M08","State","Base 2000=100","110.1"
"Index of Employment (January 1975 to December 2008) in Building and Const","2007M09","State","Base 2000=100","110.1"
"Index of Employment (January 1975 to December 2008) in Building and Const","2007M10","State","Base 2000=100","102.1"
"Index of Employment (January 1975 to December 2008) in Building and Const","2007M11","State","Base 2000=100","99.8"
"Index of Employment (January 1975 to December 2008) in Building and Const","2007M12","State","Base 2000=100","98.4"
"Index of Employment (January 1975 to December 2008) in Building and Const","2008M01","State","Base 2000=100","99"
"Index of Employment (January 1975 to December 2008) in Building and Const","2008M02","State","Base 2000=100","98.7"
"Index of Employment (January 1975 to December 2008) in Building and Const","2008M03","State","Base 2000=100","96.4"
"Index of Employment (January 1975 to December 2008) in Building and Const","2008M04","State","Base 2000=100","94.4"
"Index of Employment (January 1975 to December 2008) in Building and Const","2008M05","State","Base 2000=100","92.9"
"Index of Employment (January 1975 to December 2008) in Building and Const","2008M06","State","Base 2000=100","93.2"
"Index of Employment (January 1975 to December 2008) in Building and Const","2008M07","State","Base 2000=100","93.4"
"Index of Employment (January 1975 to December 2008) in Building and Const","2008M08","State","Base 2000=100","90.3"
"Index of Employment (January 1975 to December 2008) in Building and Const","2008M09","State","Base 2000=100","89.5"
"Index of Employment (January 1975 to December 2008) in Building and Const","2008M10","State","Base 2000=100","84"
"Index of Employment (January 1975 to December 2008) in Building and Const","2008M11","State","Base 2000=100","79.6"
"Index of Employment (January 1975 to December 2008) in Building and Const","2008M12","State","Base 2000=100","76.9"
