"Statistic","HalfYear","Number of Bedrooms","Property Type","Location","UNIT","VALUE"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Northern Cross, Dublin 17","Euro","970.83"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Dublin 18","Euro","1184.51"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Cabinteely, Dublin 18","Euro","1120.69"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Carrickmines, Dublin 18","Euro","1176.37"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Foxrock, Dublin 18","Euro","1724.92"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Leopardstown, Dublin 18","Euro","1229.7"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Sandyford, Dublin 18","Euro","1111.99"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Stepaside, Dublin 18","Euro","1061.19"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Dublin 20","Euro","935.67"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Chapelizod, Dublin 20","Euro","901.81"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Palmerstown, Dublin 20","Euro","971.46"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Clondalkin, Dublin 22","Euro","881.38"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Dublin 24","Euro","917.69"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Ballycullen, Dublin 24","Euro","1016.49"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Citywest, Dublin 24","Euro","918.91"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Firhouse, Dublin 24","Euro","1006.44"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Tallaght, Dublin 24","Euro","900.08"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Galway","Euro","702.62"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Galway City","Euro","764.68"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Athenry, Galway","Euro","568.23"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Ballinasloe, Galway","Euro","489.71"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Ballybane, Galway","Euro","660.44"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Ballybrit, Galway","Euro","697.85"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Barna, Galway","Euro","812.39"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Bohermore, Galway","Euro","824.58"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Claregalway, Galway","Euro","691.5"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Clifden, Galway","Euro","515.76"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Doughiska, Galway","Euro","719.52"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Gort, Galway","Euro","545.26"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Headford, Galway","Euro","728.76"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Knocknacarra, Galway","Euro","745.59"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Loughrea, Galway","Euro","489.19"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Mervue, Galway","Euro",""
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Monivea, Galway","Euro",""
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Moycullen, Galway","Euro","667.35"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Newcastle, Galway","Euro","839.64"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Oranmore, Galway","Euro","704.04"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Oughterard, Galway","Euro","586.91"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Portumna, Galway","Euro","451.27"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Rahoon, Galway","Euro","771.71"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Renmore, Galway","Euro","712.78"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Roscam, Galway","Euro","811.08"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Salthill, Galway","Euro","792.35"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Tuam, Galway","Euro","529.12"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Wellpark, Galway","Euro","795.38"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Woodquay, Galway","Euro",""
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Kerry","Euro","567.76"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Castleisland, Kerry","Euro","529.58"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Dingle, Kerry","Euro","500.95"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Kenmare, Kerry","Euro","479.02"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Killarney, Kerry","Euro","625.61"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Killorglin, Kerry","Euro","560.86"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Listowel, Kerry","Euro","488.74"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Tralee, Kerry","Euro","579.36"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Kildare","Euro","786.7"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Kildare Town","Euro","675.57"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Athy, Kildare","Euro","581.53"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Castledermot, Kildare","Euro","596.95"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Celbridge, Kildare","Euro","897.74"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Clane, Kildare","Euro","744.15"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Kilcock, Kildare","Euro","767.99"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Kilcullen, Kildare","Euro","719.61"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Kill, Kildare","Euro","798"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Leixlip, Kildare","Euro","923.6"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Maynooth, Kildare","Euro","898.75"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Monasterevin, Kildare","Euro","640.01"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Naas, Kildare","Euro","804.36"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Newbridge, Kildare","Euro","763.53"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Rathangan, Kildare","Euro","691.49"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Sallins, Kildare","Euro","765.7"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Kilkenny","Euro","606.19"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Kilkenny City","Euro","603.69"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Callan, Kilkenny","Euro","643.05"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Castlecomer, Kilkenny","Euro","679.29"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Freshford, Kilkenny","Euro","586.16"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Kells, Kilkenny","Euro","684.78"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Thomastown, Kilkenny","Euro","586.22"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Laois","Euro","533.6"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Mountmellick, Laois","Euro","474.84"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Mountrath, Laois","Euro","520.4"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Portarlington, Laois","Euro","493.09"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Portlaoise, Laois","Euro","542.75"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Leitrim","Euro","422.89"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Carrick-On-Shannon, Leitrim","Euro","417.24"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Manorhamilton, Leitrim","Euro","424.48"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Limerick","Euro","642.76"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Limerick City","Euro","633.07"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Abbeyfeale, Limerick","Euro","478.95"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Annacotty, Limerick","Euro","771.35"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Castleconnell, Limerick","Euro","664.26"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Castletroy, Limerick","Euro","820.66"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Corbally, Limerick","Euro","677.01"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Dock Road, Limerick","Euro","493.04"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Dooradoyle, Limerick","Euro","693.24"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Glen, Limerick","Euro",""
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Kilmallock, Limerick","Euro","540.03"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Newcastle West, Limerick","Euro","516.26"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Old Cratloe Road, Limerick","Euro",""
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Raheen, Limerick","Euro","677.55"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Longford","Euro","442.11"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Longford Town","Euro","422.68"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Ballymahon, Longford","Euro","438.38"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Edgeworthstown, Longford","Euro","415.85"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Newtownforbes, Longford","Euro","403.75"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Louth","Euro","638.39"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Ardee, Louth","Euro","598"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Drogheda, Louth","Euro","654.92"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Dundalk, Louth","Euro","622.62"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Louth Town","Euro",""
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Mayo","Euro","559.25"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Ballina, Mayo","Euro","570.63"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Ballinrobe, Mayo","Euro","493.15"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Ballyhaunis, Mayo","Euro","473.87"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Belmullet, Mayo","Euro","600.32"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Castlebar, Mayo","Euro","570.29"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Charlestown, Mayo","Euro","478.33"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Claremorris, Mayo","Euro","521.64"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Foxford, Mayo","Euro","501.66"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Swinford, Mayo","Euro","466.1"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Westport, Mayo","Euro","628.63"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Meath","Euro","690.72"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Ashbourne, Meath","Euro","807.56"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Athboy, Meath","Euro","567.86"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Bettystown, Meath","Euro","702.66"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Clonee, Meath","Euro","837.75"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Drogheda, Meath","Euro","771.79"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Duleek, Meath","Euro","703.42"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Dunboyne, Meath","Euro","877.36"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Dunshaughlin, Meath","Euro","760.36"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Enfield, Meath","Euro","668.06"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Kells, Meath","Euro","564.92"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Laytown, Meath","Euro","701.37"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Navan, Meath","Euro","640.17"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Ratoath, Meath","Euro","831.49"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Stamullen, Meath","Euro","712.66"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Trim, Meath","Euro","664.37"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Monaghan","Euro","508.48"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Ballybay, Monaghan","Euro","453.19"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Carrickmacross, Monaghan","Euro","554.82"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Castleblayney, Monaghan","Euro","511.83"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Monaghan Town","Euro","514.22"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Offaly","Euro","548.24"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Banagher, Offaly","Euro","512.21"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Birr, Offaly","Euro","535.96"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Clara, Offaly","Euro","487.06"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Edenderry, Offaly","Euro","540.32"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Tullamore, Offaly","Euro","565.94"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Roscommon","Euro","491.27"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Roscommon Town","Euro","551.1"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Athlone, Roscommon","Euro","604.93"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Ballaghaderreen, Roscommon","Euro","453.72"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Boyle, Roscommon","Euro","424.36"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Castlerea, Roscommon","Euro","434.7"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Strokestown, Roscommon","Euro","422.01"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Sligo","Euro","553.74"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Sligo Town","Euro","565.08"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Ballinode, Sligo","Euro","802.17"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Ballisodare, Sligo","Euro","559.27"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Ballymote, Sligo","Euro","433.91"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Ballytivnan, Sligo","Euro",""
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Collooney, Sligo","Euro","510.95"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Lough Gill, Sligo","Euro",""
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Strandhill, Sligo","Euro","666.08"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Tubbercurry, Sligo","Euro","421.72"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Tipperary","Euro","572.4"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Tipperary Town","Euro","511.61"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Ballina, Tipperary","Euro","640.43"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Cahir, Tipperary","Euro","577.67"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Carrick-On-Suir, Tipperary","Euro","560.89"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Cashel, Tipperary","Euro","549.83"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Clonmel, Tipperary","Euro","636.86"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Fethard, Tipperary","Euro","558.33"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Nenagh, Tipperary","Euro","542.48"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Roscrea, Tipperary","Euro","531.04"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Templemore, Tipperary","Euro","495.3"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Thurles, Tipperary","Euro","552.6"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Waterford","Euro","590.52"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Waterford City","Euro","596.32"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Ballytruckle, Waterford","Euro",""
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Canada Street, Waterford","Euro",""
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Castle Place, Waterford","Euro","587.22"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Cork Road, Waterford","Euro","585.08"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Dungarvan, Waterford","Euro","579.38"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Dunmore East, Waterford","Euro","613.7"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Dunmore Road, Waterford","Euro","692.76"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Ferrybank, Waterford","Euro","642.61"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Inner Ring Road, Waterford","Euro",""
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Johns Hill, Waterford","Euro","545.57"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Lismore, Waterford","Euro","569.86"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Mary Street, Waterford","Euro","519.45"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Penrose Lane, Waterford","Euro","506.17"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Poleberry, Waterford","Euro",""
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Portlaw, Waterford","Euro","547.8"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Railway Square, Waterford","Euro",""
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Scotch Quay, Waterford","Euro",""
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Templars Hall, Waterford","Euro","705.6"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Tramore, Waterford","Euro","570.45"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Westmeath","Euro","566.29"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Athlone, Westmeath","Euro","619.55"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Castlepollard, Westmeath","Euro","468.9"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Kilbeggan, Westmeath","Euro",""
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Kinnegad, Westmeath","Euro","526.4"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Moate, Westmeath","Euro","513.13"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Mullingar, Westmeath","Euro","539"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Wexford","Euro","593.75"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Bunclody, Wexford","Euro","600.54"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Clonard, Wexford","Euro","647.32"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Enniscorthy, Wexford","Euro","564.42"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Ferns, Wexford","Euro","620.16"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Ford, Wexford","Euro",""
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Gorey, Wexford","Euro","613.97"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Mulgannon, Wexford","Euro","635.91"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","New Ross, Wexford","Euro","553.45"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Rosslare, Wexford","Euro","606"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Wicklow","Euro","860.87"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Wicklow Town","Euro","814.17"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Arklow, Wicklow","Euro","686.43"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Baltinglass, Wicklow","Euro","643.89"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Blessington, Wicklow","Euro","803.53"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Bray, Wicklow","Euro","931.43"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Delgany, Wicklow","Euro","988.03"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Greystones, Wicklow","Euro","1000.54"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Kilcoole, Wicklow","Euro","969.07"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Newtownmountkennedy, Wicklow","Euro","1035.83"
"RTB Average Monthly Rent Report","2011H1","All bedrooms","All property types","Rathnew, Wicklow","Euro","799.57"
"RTB Average Monthly Rent Report","2011H2","All bedrooms","All property types","Carlow","Euro","627.17"
"RTB Average Monthly Rent Report","2011H2","All bedrooms","All property types","Carlow Town","Euro","645.59"
"RTB Average Monthly Rent Report","2011H2","All bedrooms","All property types","Graiguecullen, Carlow","Euro","609.61"
"RTB Average Monthly Rent Report","2011H2","All bedrooms","All property types","Tullow, Carlow","Euro","577.57"
"RTB Average Monthly Rent Report","2011H2","All bedrooms","All property types","Cavan","Euro","452.35"
"RTB Average Monthly Rent Report","2011H2","All bedrooms","All property types","Cavan Town","Euro","455.43"
"RTB Average Monthly Rent Report","2011H2","All bedrooms","All property types","Bailieborough, Cavan","Euro","421.58"
"RTB Average Monthly Rent Report","2011H2","All bedrooms","All property types","Ballyconnell, Cavan","Euro","389.26"
"RTB Average Monthly Rent Report","2011H2","All bedrooms","All property types","Ballyjamesduff, Cavan","Euro","493.7"
"RTB Average Monthly Rent Report","2011H2","All bedrooms","All property types","Belturbet, Cavan","Euro","397.68"
"RTB Average Monthly Rent Report","2011H2","All bedrooms","All property types","Cootehill, Cavan","Euro","439.01"
"RTB Average Monthly Rent Report","2011H2","All bedrooms","All property types","Kingscourt, Cavan","Euro","449.58"
"RTB Average Monthly Rent Report","2011H2","All bedrooms","All property types","Virginia, Cavan","Euro","509.11"
"RTB Average Monthly Rent Report","2011H2","All bedrooms","All property types","Clare","Euro","539.16"
"RTB Average Monthly Rent Report","2011H2","All bedrooms","All property types","Ennis, Clare","Euro","535.56"
"RTB Average Monthly Rent Report","2011H2","All bedrooms","All property types","Killaloe, Clare","Euro","541.82"
"RTB Average Monthly Rent Report","2011H2","All bedrooms","All property types","Kilrush, Clare","Euro","471.76"
"RTB Average Monthly Rent Report","2011H2","All bedrooms","All property types","Newmarket-On-Fergus, Clare","Euro",""
"RTB Average Monthly Rent Report","2011H2","All bedrooms","All property types","Shannon, Clare","Euro","579.51"
"RTB Average Monthly Rent Report","2011H2","All bedrooms","All property types","Sixmilebridge, Clare","Euro","579.75"
"RTB Average Monthly Rent Report","2011H2","All bedrooms","All property types","Cork","Euro","726.84"
"RTB Average Monthly Rent Report","2011H2","All bedrooms","All property types","Cork City","Euro","783.01"
"RTB Average Monthly Rent Report","2011H2","All bedrooms","All property types","Ballincollig, Cork","Euro","831.67"
"RTB Average Monthly Rent Report","2011H2","All bedrooms","All property types","Ballintemple, Cork","Euro","823.58"
"RTB Average Monthly Rent Report","2011H2","All bedrooms","All property types","Ballinure, Cork","Euro","836.04"
"RTB Average Monthly Rent Report","2011H2","All bedrooms","All property types","Bandon, Cork","Euro","646.38"
"RTB Average Monthly Rent Report","2011H2","All bedrooms","All property types","Bantry, Cork","Euro","573.18"
"RTB Average Monthly Rent Report","2011H2","All bedrooms","All property types","Bishopstown, Cork","Euro","956.82"
"RTB Average Monthly Rent Report","2011H2","All bedrooms","All property types","Blackpool, Cork","Euro","703.24"
"RTB Average Monthly Rent Report","2011H2","All bedrooms","All property types","Blackrock, Cork","Euro","853.04"
"RTB Average Monthly Rent Report","2011H2","All bedrooms","All property types","Blarney, Cork","Euro","718.49"
"RTB Average Monthly Rent Report","2011H2","All bedrooms","All property types","Carrigaline, Cork","Euro","760.36"
"RTB Average Monthly Rent Report","2011H2","All bedrooms","All property types","Carrigtwohill, Cork","Euro","723.09"
"RTB Average Monthly Rent Report","2011H2","All bedrooms","All property types","Castlemartyr, Cork","Euro","613.08"
"RTB Average Monthly Rent Report","2011H2","All bedrooms","All property types","Charleville, Cork","Euro","554.94"
"RTB Average Monthly Rent Report","2011H2","All bedrooms","All property types","Clonakilty, Cork","Euro","595.45"
"RTB Average Monthly Rent Report","2011H2","All bedrooms","All property types","Cloyne, Cork","Euro","556.24"
"RTB Average Monthly Rent Report","2011H2","All bedrooms","All property types","Cobh, Cork","Euro","640.64"
"RTB Average Monthly Rent Report","2011H2","All bedrooms","All property types","Crosshaven, Cork","Euro","738.93"
"RTB Average Monthly Rent Report","2011H2","All bedrooms","All property types","Douglas, Cork","Euro","854.68"
"RTB Average Monthly Rent Report","2011H2","All bedrooms","All property types","Dunmanway, Cork","Euro","548.56"
"RTB Average Monthly Rent Report","2011H2","All bedrooms","All property types","Fermoy, Cork","Euro","576.09"
"RTB Average Monthly Rent Report","2011H2","All bedrooms","All property types","Frankfield, Cork","Euro","877.62"
"RTB Average Monthly Rent Report","2011H2","All bedrooms","All property types","Glanmire, Cork","Euro","775.12"
"RTB Average Monthly Rent Report","2011H2","All bedrooms","All property types","Kanturk, Cork","Euro","534.99"
"RTB Average Monthly Rent Report","2011H2","All bedrooms","All property types","Kinsale, Cork","Euro","817"
"RTB Average Monthly Rent Report","2011H2","All bedrooms","All property types","Macroom, Cork","Euro","577.12"
"RTB Average Monthly Rent Report","2011H2","All bedrooms","All property types","Mallow, Cork","Euro","573.36"
