"Statistic","CensusYear","Sex","Aggregate Town or Rural Area","County and City","UNIT","VALUE"
"Population","2016","Male","Aggregate Town Area","Sligo","Number","12543"
"Population","2016","Male","Aggregate Town Area","Cavan","Number","11364"
"Population","2016","Male","Aggregate Town Area","Donegal","Number","20994"
"Population","2016","Male","Aggregate Town Area","Monaghan","Number","8740"
"Population","2016","Male","Aggregate Rural Area","State","Number","895701"
"Population","2016","Male","Aggregate Rural Area","Carlow","Number","14586"
"Population","2016","Male","Aggregate Rural Area","Dublin City","Number","0"
"Population","2016","Male","Aggregate Rural Area","Dún Laoghaire-Rathdown","Number","1228"
"Population","2016","Male","Aggregate Rural Area","Fingal","Number","10847"
"Population","2016","Male","Aggregate Rural Area","South Dublin","Number","2874"
"Population","2016","Male","Aggregate Rural Area","Kildare","Number","36511"
"Population","2016","Male","Aggregate Rural Area","Kilkenny","Number","30822"
"Population","2016","Male","Aggregate Rural Area","Laois","Number","22218"
"Population","2016","Male","Aggregate Rural Area","Longford","Number","13662"
"Population","2016","Male","Aggregate Rural Area","Louth","Number","21866"
"Population","2016","Male","Aggregate Rural Area","Meath","Number","40732"
"Population","2016","Male","Aggregate Rural Area","Offaly","Number","22488"
"Population","2016","Male","Aggregate Rural Area","Westmeath","Number","22686"
"Population","2016","Male","Aggregate Rural Area","Wexford","Number","45776"
"Population","2016","Male","Aggregate Rural Area","Wicklow","Number","25163"
"Population","2016","Male","Aggregate Rural Area","Clare","Number","36169"
"Population","2016","Male","Aggregate Rural Area","Cork City","Number","0"
"Population","2016","Male","Aggregate Rural Area","Cork County","Number","101880"
"Population","2016","Male","Aggregate Rural Area","Kerry","Number","48116"
"Population","2016","Male","Aggregate Rural Area","Limerick City and County","Number","45462"
"Population","2016","Male","Aggregate Rural Area","Tipperary","Number","47283"
"Population","2016","Male","Aggregate Rural Area","Waterford City and County","Number","22397"
"Population","2016","Male","Aggregate Rural Area","Galway City","Number","0"
"Population","2016","Male","Aggregate Rural Area","Galway County","Number","70602"
"Population","2016","Male","Aggregate Rural Area","Leitrim","Number","14406"
"Population","2016","Male","Aggregate Rural Area","Mayo","Number","47053"
"Population","2016","Male","Aggregate Rural Area","Roscommon","Number","23932"
"Population","2016","Male","Aggregate Rural Area","Sligo","Number","19822"
"Population","2016","Male","Aggregate Rural Area","Cavan","Number","26966"
"Population","2016","Male","Aggregate Rural Area","Donegal","Number","58028"
"Population","2016","Male","Aggregate Rural Area","Monaghan","Number","22126"
"Population","2016","Female","State","State","Number","2407437"
"Population","2016","Female","State","Carlow","Number","28467"
"Population","2016","Female","State","Dublin City","Number","282284"
"Population","2016","Female","State","Dún Laoghaire-Rathdown","Number","113434"
"Population","2016","Female","State","Fingal","Number","150780"
"Population","2016","Female","State","South Dublin","Number","142490"
"Population","2016","Female","State","Kildare","Number","111958"
"Population","2016","Female","State","Kilkenny","Number","49699"
"Population","2016","Female","State","Laois","Number","41886"
"Population","2016","Female","State","Longford","Number","20286"
"Population","2016","Female","State","Louth","Number","65251"
"Population","2016","Female","State","Meath","Number","98268"
"Population","2016","Female","State","Offaly","Number","39123"
"Population","2016","Female","State","Westmeath","Number","44688"
"Population","2016","Female","State","Wexford","Number","76000"
"Population","2016","Female","State","Wicklow","Number","72269"
"Population","2016","Female","State","Clare","Number","60032"
"Population","2016","Female","State","Cork City","Number","63935"
"Population","2016","Female","State","Cork County","Number","210258"
"Population","2016","Female","State","Kerry","Number","74652"
"Population","2016","Female","State","Limerick City and County","Number","97559"
"Population","2016","Female","State","Tipperary","Number","79885"
"Population","2016","Female","State","Waterford City and County","Number","58525"
"Population","2016","Female","State","Galway City","Number","40868"
"Population","2016","Female","State","Galway County","Number","89527"
"Population","2016","Female","State","Leitrim","Number","15980"
"Population","2016","Female","State","Mayo","Number","65460"
"Population","2016","Female","State","Roscommon","Number","32167"
"Population","2016","Female","State","Sligo","Number","33170"
"Population","2016","Female","State","Cavan","Number","37846"
"Population","2016","Female","State","Donegal","Number","80170"
"Population","2016","Female","State","Monaghan","Number","30520"
"Population","2016","Female","Aggregate Town Area","State","Number","1527054"
"Population","2016","Female","Aggregate Town Area","Carlow","Number","14125"
"Population","2016","Female","Aggregate Town Area","Dublin City","Number","282284"
"Population","2016","Female","Aggregate Town Area","Dún Laoghaire-Rathdown","Number","112097"
"Population","2016","Female","Aggregate Town Area","Fingal","Number","140030"
"Population","2016","Female","Aggregate Town Area","South Dublin","Number","139812"
"Population","2016","Female","Aggregate Town Area","Kildare","Number","76303"
"Population","2016","Female","Aggregate Town Area","Kilkenny","Number","19727"
"Population","2016","Female","Aggregate Town Area","Laois","Number","20386"
"Population","2016","Female","Aggregate Town Area","Longford","Number","7032"
"Population","2016","Female","Aggregate Town Area","Louth","Number","43457"
"Population","2016","Female","Aggregate Town Area","Meath","Number","58336"
"Population","2016","Female","Aggregate Town Area","Offaly","Number","17071"
"Population","2016","Female","Aggregate Town Area","Westmeath","Number","22039"
"Population","2016","Female","Aggregate Town Area","Wexford","Number","29807"
"Population","2016","Female","Aggregate Town Area","Wicklow","Number","47600"
"Population","2016","Female","Aggregate Town Area","Clare","Number","24038"
"Population","2016","Female","Aggregate Town Area","Cork City","Number","63935"
"Population","2016","Female","Aggregate Town Area","Cork County","Number","109922"
"Population","2016","Female","Aggregate Town Area","Kerry","Number","27187"
"Population","2016","Female","Aggregate Town Area","Limerick City and County","Number","53169"
"Population","2016","Female","Aggregate Town Area","Tipperary","Number","33859"
"Population","2016","Female","Aggregate Town Area","Waterford City and County","Number","36292"
"Population","2016","Female","Aggregate Town Area","Galway City","Number","40868"
"Population","2016","Female","Aggregate Town Area","Galway County","Number","20652"
"Population","2016","Female","Aggregate Town Area","Leitrim","Number","1764"
"Population","2016","Female","Aggregate Town Area","Mayo","Number","19282"
"Population","2016","Female","Aggregate Town Area","Roscommon","Number","8855"
"Population","2016","Female","Aggregate Town Area","Sligo","Number","13554"
"Population","2016","Female","Aggregate Town Area","Cavan","Number","11894"
"Population","2016","Female","Aggregate Town Area","Donegal","Number","22420"
"Population","2016","Female","Aggregate Town Area","Monaghan","Number","9257"
"Population","2016","Female","Aggregate Rural Area","State","Number","880383"
"Population","2016","Female","Aggregate Rural Area","Carlow","Number","14342"
"Population","2016","Female","Aggregate Rural Area","Dublin City","Number","0"
"Population","2016","Female","Aggregate Rural Area","Dún Laoghaire-Rathdown","Number","1337"
"Population","2016","Female","Aggregate Rural Area","Fingal","Number","10750"
"Population","2016","Female","Aggregate Rural Area","South Dublin","Number","2678"
"Population","2016","Female","Aggregate Rural Area","Kildare","Number","35655"
"Population","2016","Female","Aggregate Rural Area","Kilkenny","Number","29972"
"Population","2016","Female","Aggregate Rural Area","Laois","Number","21500"
"Population","2016","Female","Aggregate Rural Area","Longford","Number","13254"
"Population","2016","Female","Aggregate Rural Area","Louth","Number","21794"
"Population","2016","Female","Aggregate Rural Area","Meath","Number","39932"
"Population","2016","Female","Aggregate Rural Area","Offaly","Number","22052"
"Population","2016","Female","Aggregate Rural Area","Westmeath","Number","22649"
"Population","2016","Female","Aggregate Rural Area","Wexford","Number","46193"
"Population","2016","Female","Aggregate Rural Area","Wicklow","Number","24669"
"Population","2016","Female","Aggregate Rural Area","Clare","Number","35994"
"Population","2016","Female","Aggregate Rural Area","Cork City","Number","0"
"Population","2016","Female","Aggregate Rural Area","Cork County","Number","100336"
"Population","2016","Female","Aggregate Rural Area","Kerry","Number","47465"
"Population","2016","Female","Aggregate Rural Area","Limerick City and County","Number","44390"
"Population","2016","Female","Aggregate Rural Area","Tipperary","Number","46026"
"Population","2016","Female","Aggregate Rural Area","Waterford City and County","Number","22233"
"Population","2016","Female","Aggregate Rural Area","Galway City","Number","0"
"Population","2016","Female","Aggregate Rural Area","Galway County","Number","68875"
"Population","2016","Female","Aggregate Rural Area","Leitrim","Number","14216"
"Population","2016","Female","Aggregate Rural Area","Mayo","Number","46178"
"Population","2016","Female","Aggregate Rural Area","Roscommon","Number","23312"
"Population","2016","Female","Aggregate Rural Area","Sligo","Number","19616"
"Population","2016","Female","Aggregate Rural Area","Cavan","Number","25952"
"Population","2016","Female","Aggregate Rural Area","Donegal","Number","57750"
"Population","2016","Female","Aggregate Rural Area","Monaghan","Number","21263"
"Actual change since previous census","2011","Both sexes","State","State","Number","348404"
"Actual change since previous census","2011","Both sexes","State","Carlow","Number","4263"
"Actual change since previous census","2011","Both sexes","State","Dublin City","Number","21401"
"Actual change since previous census","2011","Both sexes","State","Dún Laoghaire-Rathdown","Number","12223"
"Actual change since previous census","2011","Both sexes","State","Fingal","Number","33999"
"Actual change since previous census","2011","Both sexes","State","South Dublin","Number","18270"
"Actual change since previous census","2011","Both sexes","State","Kildare","Number","23977"
"Actual change since previous census","2011","Both sexes","State","Kilkenny","Number","7861"
"Actual change since previous census","2011","Both sexes","State","Laois","Number","13500"
"Actual change since previous census","2011","Both sexes","State","Longford","Number","4609"
"Actual change since previous census","2011","Both sexes","State","Louth","Number","11630"
"Actual change since previous census","2011","Both sexes","State","Meath","Number","21304"
"Actual change since previous census","2011","Both sexes","State","Offaly","Number","5819"
"Actual change since previous census","2011","Both sexes","State","Westmeath","Number","6818"
"Actual change since previous census","2011","Both sexes","State","Wexford","Number","13571"
"Actual change since previous census","2011","Both sexes","State","Wicklow","Number","10446"
"Actual change since previous census","2011","Both sexes","State","Clare","Number","6246"
"Actual change since previous census","2011","Both sexes","State","Cork City","Number","-188"
"Actual change since previous census","2011","Both sexes","State","Cork County","Number","37925"
"Actual change since previous census","2011","Both sexes","State","Kerry","Number","5667"
"Actual change since previous census","2011","Both sexes","State","Limerick City and County","Number","7754"
"Actual change since previous census","2011","Both sexes","State","Tipperary","Number","9510"
"Actual change since previous census","2011","Both sexes","State","Waterford City and County","Number","5834"
"Actual change since previous census","2011","Both sexes","State","Galway City","Number","3115"
"Actual change since previous census","2011","Both sexes","State","Galway County","Number","15868"
"Actual change since previous census","2011","Both sexes","State","Leitrim","Number","2848"
"Actual change since previous census","2011","Both sexes","State","Mayo","Number","6799"
"Actual change since previous census","2011","Both sexes","State","Roscommon","Number","5297"
"Actual change since previous census","2011","Both sexes","State","Sligo","Number","4499"
"Actual change since previous census","2011","Both sexes","State","Cavan","Number","9180"
"Actual change since previous census","2011","Both sexes","State","Donegal","Number","13873"
"Actual change since previous census","2011","Both sexes","State","Monaghan","Number","4486"
"Actual change since previous census","2011","Both sexes","Aggregate Town Area","State","Number","272569"
"Actual change since previous census","2011","Both sexes","Aggregate Town Area","Carlow","Number","2413"
"Actual change since previous census","2011","Both sexes","Aggregate Town Area","Dublin City","Number","21401"
"Actual change since previous census","2011","Both sexes","Aggregate Town Area","Dún Laoghaire-Rathdown","Number","12506"
"Actual change since previous census","2011","Both sexes","Aggregate Town Area","Fingal","Number","30998"
"Actual change since previous census","2011","Both sexes","Aggregate Town Area","South Dublin","Number","19122"
"Actual change since previous census","2011","Both sexes","Aggregate Town Area","Kildare","Number","20155"
"Actual change since previous census","2011","Both sexes","Aggregate Town Area","Kilkenny","Number","4387"
"Actual change since previous census","2011","Both sexes","Aggregate Town Area","Laois","Number","11016"
"Actual change since previous census","2011","Both sexes","Aggregate Town Area","Longford","Number","4072"
"Actual change since previous census","2011","Both sexes","Aggregate Town Area","Louth","Number","7477"
"Actual change since previous census","2011","Both sexes","Aggregate Town Area","Meath","Number","19313"
"Actual change since previous census","2011","Both sexes","Aggregate Town Area","Offaly","Number","3512"
"Actual change since previous census","2011","Both sexes","Aggregate Town Area","Westmeath","Number","4219"
"Actual change since previous census","2011","Both sexes","Aggregate Town Area","Wexford","Number","9999"
"Actual change since previous census","2011","Both sexes","Aggregate Town Area","Wicklow","Number","8450"
"Actual change since previous census","2011","Both sexes","Aggregate Town Area","Clare","Number","2990"
"Actual change since previous census","2011","Both sexes","Aggregate Town Area","Cork City","Number","-188"
"Actual change since previous census","2011","Both sexes","Aggregate Town Area","Cork County","Number","28264"
"Actual change since previous census","2011","Both sexes","Aggregate Town Area","Kerry","Number","2246"
"Actual change since previous census","2011","Both sexes","Aggregate Town Area","Limerick City and County","Number","7786"
"Actual change since previous census","2011","Both sexes","Aggregate Town Area","Tipperary","Number","7750"
"Actual change since previous census","2011","Both sexes","Aggregate Town Area","Waterford City and County","Number","4572"
"Actual change since previous census","2011","Both sexes","Aggregate Town Area","Galway City","Number","3115"
"Actual change since previous census","2011","Both sexes","Aggregate Town Area","Galway County","Number","12204"
"Actual change since previous census","2011","Both sexes","Aggregate Town Area","Leitrim","Number","719"
"Actual change since previous census","2011","Both sexes","Aggregate Town Area","Mayo","Number","2217"
"Actual change since previous census","2011","Both sexes","Aggregate Town Area","Roscommon","Number","2328"
"Actual change since previous census","2011","Both sexes","Aggregate Town Area","Sligo","Number","4932"
"Actual change since previous census","2011","Both sexes","Aggregate Town Area","Cavan","Number","5121"
"Actual change since previous census","2011","Both sexes","Aggregate Town Area","Donegal","Number","7689"
"Actual change since previous census","2011","Both sexes","Aggregate Town Area","Monaghan","Number","1784"
"Actual change since previous census","2011","Both sexes","Aggregate Rural Area","State","Number","75835"
"Actual change since previous census","2011","Both sexes","Aggregate Rural Area","Carlow","Number","1850"
"Actual change since previous census","2011","Both sexes","Aggregate Rural Area","Dublin City","Number","0"
"Actual change since previous census","2011","Both sexes","Aggregate Rural Area","Dún Laoghaire-Rathdown","Number","-283"
"Actual change since previous census","2011","Both sexes","Aggregate Rural Area","Fingal","Number","3001"
"Actual change since previous census","2011","Both sexes","Aggregate Rural Area","South Dublin","Number","-852"
"Actual change since previous census","2011","Both sexes","Aggregate Rural Area","Kildare","Number","3822"
"Actual change since previous census","2011","Both sexes","Aggregate Rural Area","Kilkenny","Number","3474"
"Actual change since previous census","2011","Both sexes","Aggregate Rural Area","Laois","Number","2484"
"Actual change since previous census","2011","Both sexes","Aggregate Rural Area","Longford","Number","537"
"Actual change since previous census","2011","Both sexes","Aggregate Rural Area","Louth","Number","4153"
"Actual change since previous census","2011","Both sexes","Aggregate Rural Area","Meath","Number","1991"
"Actual change since previous census","2011","Both sexes","Aggregate Rural Area","Offaly","Number","2307"
"Actual change since previous census","2011","Both sexes","Aggregate Rural Area","Westmeath","Number","2599"
"Actual change since previous census","2011","Both sexes","Aggregate Rural Area","Wexford","Number","3572"
"Actual change since previous census","2011","Both sexes","Aggregate Rural Area","Wicklow","Number","1996"
"Actual change since previous census","2011","Both sexes","Aggregate Rural Area","Clare","Number","3256"
"Actual change since previous census","2011","Both sexes","Aggregate Rural Area","Cork City","Number","0"
"Actual change since previous census","2011","Both sexes","Aggregate Rural Area","Cork County","Number","9661"
"Actual change since previous census","2011","Both sexes","Aggregate Rural Area","Kerry","Number","3421"
"Actual change since previous census","2011","Both sexes","Aggregate Rural Area","Limerick City and County","Number","-32"
"Actual change since previous census","2011","Both sexes","Aggregate Rural Area","Tipperary","Number","1760"
"Actual change since previous census","2011","Both sexes","Aggregate Rural Area","Waterford City and County","Number","1262"
"Actual change since previous census","2011","Both sexes","Aggregate Rural Area","Galway City","Number","0"
"Actual change since previous census","2011","Both sexes","Aggregate Rural Area","Galway County","Number","3664"
"Actual change since previous census","2011","Both sexes","Aggregate Rural Area","Leitrim","Number","2129"
"Actual change since previous census","2011","Both sexes","Aggregate Rural Area","Mayo","Number","4582"
"Actual change since previous census","2011","Both sexes","Aggregate Rural Area","Roscommon","Number","2969"
"Actual change since previous census","2011","Both sexes","Aggregate Rural Area","Sligo","Number","-433"
"Actual change since previous census","2011","Both sexes","Aggregate Rural Area","Cavan","Number","4059"
"Actual change since previous census","2011","Both sexes","Aggregate Rural Area","Donegal","Number","6184"
"Actual change since previous census","2011","Both sexes","Aggregate Rural Area","Monaghan","Number","2702"
"Actual change since previous census","2011","Male","State","State","Number","151528"
"Actual change since previous census","2011","Male","State","Carlow","Number","1820"
"Actual change since previous census","2011","Male","State","Dublin City","Number","9216"
"Actual change since previous census","2011","Male","State","Dún Laoghaire-Rathdown","Number","5668"
"Actual change since previous census","2011","Male","State","Fingal","Number","15288"
"Actual change since previous census","2011","Male","State","South Dublin","Number","7173"
"Actual change since previous census","2011","Male","State","Kildare","Number","10468"
"Actual change since previous census","2011","Male","State","Kilkenny","Number","3525"
"Actual change since previous census","2011","Male","State","Laois","Number","6178"
"Actual change since previous census","2011","Male","State","Longford","Number","2076"
"Actual change since previous census","2011","Male","State","Louth","Number","5428"
"Actual change since previous census","2011","Male","State","Meath","Number","9259"
"Actual change since previous census","2011","Male","State","Offaly","Number","2493"
"Actual change since previous census","2011","Male","State","Westmeath","Number","2964"
"Actual change since previous census","2011","Male","State","Wexford","Number","5839"
"Actual change since previous census","2011","Male","State","Wicklow","Number","4637"
"Actual change since previous census","2011","Male","State","Clare","Number","2250"
"Actual change since previous census","2011","Male","State","Cork City","Number","363"
"Actual change since previous census","2011","Male","State","Cork County","Number","16293"
"Actual change since previous census","2011","Male","State","Kerry","Number","1988"
"Actual change since previous census","2011","Male","State","Limerick City and County","Number","3135"
"Actual change since previous census","2011","Male","State","Tipperary","Number","3766"
"Actual change since previous census","2011","Male","State","Waterford City and County","Number","2532"
"Actual change since previous census","2011","Male","State","Galway City","Number","1666"
"Actual change since previous census","2011","Male","State","Galway County","Number","6616"
"Actual change since previous census","2011","Male","State","Leitrim","Number","1241"
"Actual change since previous census","2011","Male","State","Mayo","Number","2784"
"Actual change since previous census","2011","Male","State","Roscommon","Number","2175"
"Actual change since previous census","2011","Male","State","Sligo","Number","2178"
"Actual change since previous census","2011","Male","State","Cavan","Number","4098"
"Actual change since previous census","2011","Male","State","Donegal","Number","6553"
"Actual change since previous census","2011","Male","State","Monaghan","Number","1858"
"Actual change since previous census","2011","Male","Aggregate Town Area","State","Number","121200"
"Actual change since previous census","2011","Male","Aggregate Town Area","Carlow","Number","1044"
"Actual change since previous census","2011","Male","Aggregate Town Area","Dublin City","Number","9216"
"Actual change since previous census","2011","Male","Aggregate Town Area","Dún Laoghaire-Rathdown","Number","5862"
"Actual change since previous census","2011","Male","Aggregate Town Area","Fingal","Number","13813"
"Actual change since previous census","2011","Male","Aggregate Town Area","South Dublin","Number","7704"
"Actual change since previous census","2011","Male","Aggregate Town Area","Kildare","Number","8726"
"Actual change since previous census","2011","Male","Aggregate Town Area","Kilkenny","Number","1965"
"Actual change since previous census","2011","Male","Aggregate Town Area","Laois","Number","5194"
"Actual change since previous census","2011","Male","Aggregate Town Area","Longford","Number","1902"
"Actual change since previous census","2011","Male","Aggregate Town Area","Louth","Number","3599"
"Actual change since previous census","2011","Male","Aggregate Town Area","Meath","Number","8747"
"Actual change since previous census","2011","Male","Aggregate Town Area","Offaly","Number","1477"
"Actual change since previous census","2011","Male","Aggregate Town Area","Westmeath","Number","1944"
"Actual change since previous census","2011","Male","Aggregate Town Area","Wexford","Number","4382"
"Actual change since previous census","2011","Male","Aggregate Town Area","Wicklow","Number","3741"
"Actual change since previous census","2011","Male","Aggregate Town Area","Clare","Number","991"
"Actual change since previous census","2011","Male","Aggregate Town Area","Cork City","Number","363"
"Actual change since previous census","2011","Male","Aggregate Town Area","Cork County","Number","12512"
"Actual change since previous census","2011","Male","Aggregate Town Area","Kerry","Number","836"
"Actual change since previous census","2011","Male","Aggregate Town Area","Limerick City and County","Number","3506"
"Actual change since previous census","2011","Male","Aggregate Town Area","Tipperary","Number","3281"
"Actual change since previous census","2011","Male","Aggregate Town Area","Waterford City and County","Number","1978"
"Actual change since previous census","2011","Male","Aggregate Town Area","Galway City","Number","1666"
"Actual change since previous census","2011","Male","Aggregate Town Area","Galway County","Number","5495"
"Actual change since previous census","2011","Male","Aggregate Town Area","Leitrim","Number","346"
"Actual change since previous census","2011","Male","Aggregate Town Area","Mayo","Number","851"
"Actual change since previous census","2011","Male","Aggregate Town Area","Roscommon","Number","920"
"Actual change since previous census","2011","Male","Aggregate Town Area","Sligo","Number","2398"
"Actual change since previous census","2011","Male","Aggregate Town Area","Cavan","Number","2352"
"Actual change since previous census","2011","Male","Aggregate Town Area","Donegal","Number","3688"
"Actual change since previous census","2011","Male","Aggregate Town Area","Monaghan","Number","701"
"Actual change since previous census","2011","Male","Aggregate Rural Area","State","Number","30328"
"Actual change since previous census","2011","Male","Aggregate Rural Area","Carlow","Number","776"
"Actual change since previous census","2011","Male","Aggregate Rural Area","Dublin City","Number","0"
"Actual change since previous census","2011","Male","Aggregate Rural Area","Dún Laoghaire-Rathdown","Number","-194"
"Actual change since previous census","2011","Male","Aggregate Rural Area","Fingal","Number","1475"
"Actual change since previous census","2011","Male","Aggregate Rural Area","South Dublin","Number","-531"
"Actual change since previous census","2011","Male","Aggregate Rural Area","Kildare","Number","1742"
"Actual change since previous census","2011","Male","Aggregate Rural Area","Kilkenny","Number","1560"
"Actual change since previous census","2011","Male","Aggregate Rural Area","Laois","Number","984"
"Actual change since previous census","2011","Male","Aggregate Rural Area","Longford","Number","174"
"Actual change since previous census","2011","Male","Aggregate Rural Area","Louth","Number","1829"
"Actual change since previous census","2011","Male","Aggregate Rural Area","Meath","Number","512"
"Actual change since previous census","2011","Male","Aggregate Rural Area","Offaly","Number","1016"
"Actual change since previous census","2011","Male","Aggregate Rural Area","Westmeath","Number","1020"
"Actual change since previous census","2011","Male","Aggregate Rural Area","Wexford","Number","1457"
"Actual change since previous census","2011","Male","Aggregate Rural Area","Wicklow","Number","896"
"Actual change since previous census","2011","Male","Aggregate Rural Area","Clare","Number","1259"
"Actual change since previous census","2011","Male","Aggregate Rural Area","Cork City","Number","0"
"Actual change since previous census","2011","Male","Aggregate Rural Area","Cork County","Number","3781"
"Actual change since previous census","2011","Male","Aggregate Rural Area","Kerry","Number","1152"
"Actual change since previous census","2011","Male","Aggregate Rural Area","Limerick City and County","Number","-371"
"Actual change since previous census","2011","Male","Aggregate Rural Area","Tipperary","Number","485"
"Actual change since previous census","2011","Male","Aggregate Rural Area","Waterford City and County","Number","554"
"Actual change since previous census","2011","Male","Aggregate Rural Area","Galway City","Number","0"
"Actual change since previous census","2011","Male","Aggregate Rural Area","Galway County","Number","1121"
"Actual change since previous census","2011","Male","Aggregate Rural Area","Leitrim","Number","895"
"Actual change since previous census","2011","Male","Aggregate Rural Area","Mayo","Number","1933"
"Actual change since previous census","2011","Male","Aggregate Rural Area","Roscommon","Number","1255"
"Actual change since previous census","2011","Male","Aggregate Rural Area","Sligo","Number","-220"
"Actual change since previous census","2011","Male","Aggregate Rural Area","Cavan","Number","1746"
"Actual change since previous census","2011","Male","Aggregate Rural Area","Donegal","Number","2865"
"Actual change since previous census","2011","Male","Aggregate Rural Area","Monaghan","Number","1157"
"Actual change since previous census","2011","Female","State","State","Number","196876"
"Actual change since previous census","2011","Female","State","Carlow","Number","2443"
"Actual change since previous census","2011","Female","State","Dublin City","Number","12185"
"Actual change since previous census","2011","Female","State","Dún Laoghaire-Rathdown","Number","6555"
"Actual change since previous census","2011","Female","State","Fingal","Number","18711"
"Actual change since previous census","2011","Female","State","South Dublin","Number","11097"
"Actual change since previous census","2011","Female","State","Kildare","Number","13509"
"Actual change since previous census","2011","Female","State","Kilkenny","Number","4336"
"Actual change since previous census","2011","Female","State","Laois","Number","7322"
"Actual change since previous census","2011","Female","State","Longford","Number","2533"
"Actual change since previous census","2011","Female","State","Louth","Number","6202"
"Actual change since previous census","2011","Female","State","Meath","Number","12045"
"Actual change since previous census","2011","Female","State","Offaly","Number","3326"
"Actual change since previous census","2011","Female","State","Westmeath","Number","3854"
"Actual change since previous census","2011","Female","State","Wexford","Number","7732"
"Actual change since previous census","2011","Female","State","Wicklow","Number","5809"
"Actual change since previous census","2011","Female","State","Clare","Number","3996"
"Actual change since previous census","2011","Female","State","Cork City","Number","-551"
"Actual change since previous census","2011","Female","State","Cork County","Number","21632"
"Actual change since previous census","2011","Female","State","Kerry","Number","3679"
"Actual change since previous census","2011","Female","State","Limerick City and County","Number","4619"
"Actual change since previous census","2011","Female","State","Tipperary","Number","5744"
"Actual change since previous census","2011","Female","State","Waterford City and County","Number","3302"
"Actual change since previous census","2011","Female","State","Galway City","Number","1449"
"Actual change since previous census","2011","Female","State","Galway County","Number","9252"
"Actual change since previous census","2011","Female","State","Leitrim","Number","1607"
"Actual change since previous census","2011","Female","State","Mayo","Number","4015"
"Actual change since previous census","2011","Female","State","Roscommon","Number","3122"
"Actual change since previous census","2011","Female","State","Sligo","Number","2321"
"Actual change since previous census","2011","Female","State","Cavan","Number","5082"
"Actual change since previous census","2011","Female","State","Donegal","Number","7320"
"Actual change since previous census","2011","Female","State","Monaghan","Number","2628"
"Actual change since previous census","2011","Female","Aggregate Town Area","State","Number","151369"
"Actual change since previous census","2011","Female","Aggregate Town Area","Carlow","Number","1369"
"Actual change since previous census","2011","Female","Aggregate Town Area","Dublin City","Number","12185"
"Actual change since previous census","2011","Female","Aggregate Town Area","Dún Laoghaire-Rathdown","Number","6644"
"Actual change since previous census","2011","Female","Aggregate Town Area","Fingal","Number","17185"
"Actual change since previous census","2011","Female","Aggregate Town Area","South Dublin","Number","11418"
"Actual change since previous census","2011","Female","Aggregate Town Area","Kildare","Number","11429"
"Actual change since previous census","2011","Female","Aggregate Town Area","Kilkenny","Number","2422"
"Actual change since previous census","2011","Female","Aggregate Town Area","Laois","Number","5822"
"Actual change since previous census","2011","Female","Aggregate Town Area","Longford","Number","2170"
"Actual change since previous census","2011","Female","Aggregate Town Area","Louth","Number","3878"
"Actual change since previous census","2011","Female","Aggregate Town Area","Meath","Number","10566"
"Actual change since previous census","2011","Female","Aggregate Town Area","Offaly","Number","2035"
"Actual change since previous census","2011","Female","Aggregate Town Area","Westmeath","Number","2275"
"Actual change since previous census","2011","Female","Aggregate Town Area","Wexford","Number","5617"
"Actual change since previous census","2011","Female","Aggregate Town Area","Wicklow","Number","4709"
"Actual change since previous census","2011","Female","Aggregate Town Area","Clare","Number","1999"
"Actual change since previous census","2011","Female","Aggregate Town Area","Cork City","Number","-551"
"Actual change since previous census","2011","Female","Aggregate Town Area","Cork County","Number","15752"
"Actual change since previous census","2011","Female","Aggregate Town Area","Kerry","Number","1410"
"Actual change since previous census","2011","Female","Aggregate Town Area","Limerick City and County","Number","4280"
"Actual change since previous census","2011","Female","Aggregate Town Area","Tipperary","Number","4469"
"Actual change since previous census","2011","Female","Aggregate Town Area","Waterford City and County","Number","2594"
"Actual change since previous census","2011","Female","Aggregate Town Area","Galway City","Number","1449"
"Actual change since previous census","2011","Female","Aggregate Town Area","Galway County","Number","6709"
"Actual change since previous census","2011","Female","Aggregate Town Area","Leitrim","Number","373"
"Actual change since previous census","2011","Female","Aggregate Town Area","Mayo","Number","1366"
"Actual change since previous census","2011","Female","Aggregate Town Area","Roscommon","Number","1408"
"Actual change since previous census","2011","Female","Aggregate Town Area","Sligo","Number","2534"
"Actual change since previous census","2011","Female","Aggregate Town Area","Cavan","Number","2769"
"Actual change since previous census","2011","Female","Aggregate Town Area","Donegal","Number","4001"
"Actual change since previous census","2011","Female","Aggregate Town Area","Monaghan","Number","1083"
"Actual change since previous census","2011","Female","Aggregate Rural Area","State","Number","45507"
"Actual change since previous census","2011","Female","Aggregate Rural Area","Carlow","Number","1074"
"Actual change since previous census","2011","Female","Aggregate Rural Area","Dublin City","Number","0"
"Actual change since previous census","2011","Female","Aggregate Rural Area","Dún Laoghaire-Rathdown","Number","-89"
"Actual change since previous census","2011","Female","Aggregate Rural Area","Fingal","Number","1526"
"Actual change since previous census","2011","Female","Aggregate Rural Area","South Dublin","Number","-321"
"Actual change since previous census","2011","Female","Aggregate Rural Area","Kildare","Number","2080"
"Actual change since previous census","2011","Female","Aggregate Rural Area","Kilkenny","Number","1914"
"Actual change since previous census","2011","Female","Aggregate Rural Area","Laois","Number","1500"
"Actual change since previous census","2011","Female","Aggregate Rural Area","Longford","Number","363"
